time,bid,bid_depth,bid_depth_total,offer,offer_depth,offer_depth_total
20170111T090040,159.3,3896,157156,159.6,1157,345639
20170111T090040,159.3,3896,156856,159.5,423,346062
20170111T090040,159.3,3896,156856,159.5,592,346009
20170111T090040,159.3,3828,156488,159.5,592,346009
20170111T090043,159.3,4487,156603,159.5,592,346009
20170111T090052,159.3,4487,155941,159.5,603,342649
20170111T090100,159.3,5248,156527,159.5,603,342649
20170111T090101,159.3,5248,156527,159.5,1021,343067
20170111T090101,159.3,5248,156527,159.5,1521,343567
20170111T090101,159.3,5248,156527,159.5,1021,343067
20170111T090113,159.3,4589,154620,159.5,1021,323439
20170111T090124,159.3,3071,162511,159.5,1021,326652
20170111T090124,159.3,1840,161280,159.5,1021,326652
20170111T090124,159.3,1236,160138,159.5,1021,326652
20170111T090124,159.3,761,159663,159.5,1021,326652
20170111T090124,159.2,7890,158902,159.5,1021,326652
20170111T090124,159.2,7890,158902,159.4,550,327202
20170111T090124,159.2,7890,155964,159.4,1030,328520
20170111T090124,159.2,7890,155064,159.4,1234,329473
20170111T090124,159.2,7890,155064,159.4,1438,329677
20170111T090124,159.2,7890,155064,159.4,2038,330277
20170111T090124,159.3,1231,155695,159.4,2038,330277
20170111T090124,159.2,7890,154464,159.4,2038,330277
20170111T090124,159.2,7890,154464,159.3,1141,331418
20170111T090124,159.2,7890,155064,159.3,921,331118
20170111T090124,159.2,7230,154404,159.3,921,331118
20170111T090124,159.2,7230,155228,159.3,351,331317
20170111T090124,159.2,5395,154133,159.3,351,330717
20170111T090124,159.2,5504,154242,159.3,351,330717
20170111T090124,159.2,5504,154242,159.3,101,330467
20170111T090124,159.2,7214,155952,159.3,101,330467
20170111T090124,159.2,7105,155843,159.3,101,330467
20170111T090124,159.2,7230,155968,159.3,101,329987
20170111T090124,159.2,7230,156077,159.3,113,329988
20170111T090127,159.2,7230,157153,159.3,12,330394
20170111T090129,159.2,7230,160545,159.3,216,333786
20170111T090129,159.2,7230,160545,159.3,420,332717
20170111T090131,159.2,7230,161745,159.3,408,332705
20170111T090131,159.2,7230,161745,159.3,204,332501
20170111T090131,159.2,7230,161745,159.4,550,332297
20170111T090131,159.3,500,162245,159.4,550,332297
20170111T090131,159.3,500,162245,159.5,1438,331747
20170111T090131,159.3,500,162545,159.5,900,331209
20170111T090131,159.2,7230,162045,159.5,900,331209
20170111T090131,159.2,7230,162345,159.5,841,330102
20170111T090131,159.3,134,160992,159.5,841,330102
20170111T090131,159.3,243,161101,159.5,841,330102
20170111T090131,159.3,1095,163153,159.5,841,330102
20170111T090131,159.3,243,162301,159.5,841,330102
20170111T090131,159.3,1835,163893,159.5,841,330102
20170111T090131,159.3,2255,162765,159.5,841,330102
20170111T090131,159.3,2855,163903,159.5,841,330102
20170111T090132,159.3,2435,165103,159.5,841,329564
20170111T090132,159.3,1835,164503,159.5,841,329564
20170111T090132,159.3,1835,164503,159.5,1010,330233
20170111T090132,159.3,1835,164503,159.5,1367,331190
20170111T090159,159.3,1835,163637,159.5,1592,331915
20170111T090202,159.3,1835,162654,159.5,1423,331990
20170111T090202,159.3,243,161707,159.5,1423,331690
20170111T090202,159.3,243,163017,159.4,169,331859
20170111T090202,159.3,1667,164441,159.4,169,331859
20170111T090202,159.3,243,163017,159.4,169,331859
20170111T090202,159.3,1835,163299,159.4,169,331859
20170111T090202,159.3,1835,163299,159.4,441,331774
20170111T090202,159.3,1835,163299,159.4,645,331978
20170111T090202,159.3,1835,162699,159.4,1063,332278
20170111T090202,159.3,1835,162699,159.4,1663,332878
20170111T090202,159.3,1835,162699,159.4,1063,332278
20170111T090203,159.3,1701,162565,159.4,1063,332339
20170111T090203,159.3,1592,162456,159.4,1063,332339
20170111T090203,159.2,7984,160864,159.4,1063,332339
20170111T090203,159.2,7984,160864,159.3,550,333432
20170111T090203,159.2,7859,160501,159.3,550,333671
20170111T090203,159.2,6149,158791,159.3,550,333671
20170111T090203,159.2,6165,158807,159.3,550,333671
20170111T090203,159.2,6810,159452,159.3,550,333671
20170111T090203,159.2,6919,159561,159.3,550,333671
20170111T090203,159.2,6810,159452,159.3,550,333671
20170111T090203,159.2,7984,160626,159.3,550,333671
20170111T090203,159.2,7984,160626,159.4,1063,333121
20170111T090207,159.2,7984,160626,159.4,791,332188
20170111T090207,159.2,7984,160626,159.4,587,331984
20170111T090207,159.2,7984,160626,159.3,274,331958
20170111T090207,159.2,7984,160626,159.3,543,332527
20170111T090207,159.2,7984,160626,159.3,712,332527
20170111T090212,159.2,7984,162426,159.3,739,334227
20170111T090212,159.2,7984,162426,159.3,1239,334727
20170111T090212,159.2,7984,162426,159.3,739,334227
20170111T090214,159.2,7089,162163,159.3,739,324559
